"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation","aggregation","artifacts","backbone","batch_size","concat_output","data_split","dataset","detector_width","emb_dim","emb_hidden","emb_knn","factor","gpus","grav_weight","hard_cuts/pt","hparams/activation","hparams/artifacts","hparams/backbone","hparams/batch_size","hparams/data_split","hparams/dataset","hparams/detector_width","hparams/emb_dim","hparams/emb_hidden","hparams/factor","hparams/gpus","hparams/hard_cuts/pt","hparams/influencer_influencer_weight","hparams/influencer_margin","hparams/input_dir","hparams/knn","hparams/lr","hparams/margin","hparams/max_epochs","hparams/max_r","hparams/min_r","hparams/model","hparams/nb_layer","hparams/nhits","hparams/nodes","hparams/num_heads","hparams/num_layer","hparams/num_tracks","hparams/patience","hparams/points_per_batch","hparams/project","hparams/ptcut","hparams/radius","hparams/randomisation","hparams/regime","hparams/spatial_channels","hparams/track_dis_width","hparams/user_influencer_neg_ratio","hparams/user_influencer_weight","hparams/user_user_pos_ratio","hparams/user_user_weight","hparams/warmup","influencer_influencer_weight","influencer_margin","input_dir","knn","lr","margin","max_epochs","max_knn","max_r","min_r","model","nb_layer","nhits","nodes","norm_embedding","norm_hidden","num_heads","num_layer","num_tracks","patience","points_per_batch","project","ptcut","r_train","radius","randomisation","regime","self_loop","spatial_channels","steps","track_dis_width","user_influencer_neg_ratio","user_influencer_weight","user_user_pos_ratio","user_user_weight","warmup","cluster_eff","cluster_pur","epoch","grav_facts/fact_0","grav_facts/fact_1","grav_facts/fact_2","grav_facts/fact_3","grav_facts/fact_4","influencer_influencer_loss","nbhood_sizes/nb_size_0","nbhood_sizes/nb_size_1","nbhood_sizes/nb_size_2","nbhood_sizes/nb_size_3","nbhood_sizes/nb_size_4","represent_dup","represent_eff","represent_pur","stats/training_max_memory","stats/training_time","stats/validation_max_memory","stats/validation_time","tracking_dup","tracking_eff","tracking_fake_rate","train_influencer_influencer_loss","train_loss","train_loss_epoch","train_loss_step","train_user_influencer_loss","train_user_user_loss","trainer/global_step","user_influencer_loss","user_user_loss","val_loss.min"
"clean-energy-92","finished","-","murnanedaniel","","2023-05-06T13:42:09.000Z","479","","ReLU","","/global/cfs/cdirs/m3443/data/lightning_models/lightning_checkpoints","Transformer","10","","[80,10,10]","trackml","","12","128","","0.8","1","","[1,null]","ReLU","/global/cfs/cdirs/m3443/data/lightning_models/lightning_checkpoints","Transformer","10","[80,10,10]","trackml","","12","128","0.8","1","[1,null]","","","/global/cfs/cdirs/m3443/data/GNN4ITK/CommonFrameworkExamples/Example_3_Dev_B/feature_store","50","0.001","1","200","","","Naive","4","","1","2","30","2","30","","GeometricTracking_CHEP","","1","","[""rp"",""hnm"",""norm"",""radius""]","3","","","","1","","10","","","/global/cfs/cdirs/m3443/data/GNN4ITK/CommonFrameworkExamples/Example_3_Dev_B/feature_store","50","0.001","1","200","","","","Naive","4","","1","","","2","30","2","30","","GeometricTracking_CHEP","","","1","","[""rp"",""hnm"",""norm"",""radius""]","","3","","","","","1","","10","0.9426289200782776","1","199","","","","","","","","","","","","0.15000000596046448","0.7924528121948242","1","0.036448001861572266","0.01873493194580078","0.027713298797607425","0.014965295791625977","0","0.949999988079071","0.13636364042758942","","","0.20369672775268555","0.05280526354908943","","","1599","","","0.0002592718228697777"
"lunar-wood-37","finished","-","murnanedaniel","","2023-05-06T10:16:04.000Z","163","","SiLU","[""sum"",""mean"",""max"",""std""]","/global/cfs/cdirs/m3443/data/lightning_models/lightning_checkpoints","Gravnet","10","true","[80,10,10]","trackml","","12","128","10","0.8","1","3","[1,null]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/global/cfs/cdirs/m3443/data/GNN4ITK/CommonFrameworkExamples/Example_3_Dev_B/feature_store","50","0.01","1","100","50","","","Naive","3","","1","true","true","","30","200","10","","GeometricTracking_CHEP","","0.1","1","","[""rp"",""hnm"",""norm"",""radius""]","false","3","5","","","","1","","10","0.9108752608299256","0.03912241384387016","21","3","3","3","3","3","","58.4609260559082","59.903297424316406","59.0936393737793","59.649051666259766","59.0008544921875","0.00361010804772377","0.09279262274503708","0.058321043848991394","5.31136417388916","0.2925453186035156","1.476201057434082","1.0252728462219238","0","0.0005241089966148138","0.9957265257835388","","","0.6965843439102173","0.6733249425888062","","","175","","","0.5314640402793884"
"elated-terrain-154","finished","-","murnanedaniel","","2023-05-07T11:39:10.000Z","834","","ReLU","","/global/cfs/cdirs/m3443/data/lightning_models/lightning_checkpoints","Transformer","10","","[80,10,10]","trackml","","12","128","","0.8","1","","[1,null]","ReLU","/global/cfs/cdirs/m3443/data/lightning_models/lightning_checkpoints","Transformer","10","[80,10,10]","trackml","","12","128","0.8","1","[1,null]","2","3","/global/cfs/cdirs/m3443/data/GNN4ITK/CommonFrameworkExamples/Example_3_Dev_B/feature_store","50","0.003","1","300","","","Influencer","4","","1","2","30","10","30","100000","GeometricTracking_CHEP","","1","1","[""rp"",""hnm"",""norm"",""radius""]","3","","1","0.05","1","0","10","2","3","/global/cfs/cdirs/m3443/data/GNN4ITK/CommonFrameworkExamples/Example_3_Dev_B/feature_store","50","0.003","1","300","","","","Influencer","4","","1","","","2","30","10","30","100000","GeometricTracking_CHEP","","","1","1","[""rp"",""hnm"",""norm"",""radius""]","","3","","","1","0.05","1","0","10","0.21058450639247897","0.9250519871711732","299","","","","","","4.032395839691162","","","","","","0","0.013966480270028114","0.9375","0.07522153854370117","0.10506367683410645","0.035964012145996094","0.00535893440246582","0","0","1","3.034259080886841","3.2314491271972656","","","0.19719016551971436","0","2399","0.2037131041288376","0","1.211342692375183"
"fresh-galaxy-116","finished","-","murnanedaniel","","2023-05-07T11:38:15.000Z","897","","ReLU","","/global/cfs/cdirs/m3443/data/lightning_models/lightning_checkpoints","Transformer","10","","[80,10,10]","trackml","","12","128","","0.8","1","","[1,null]","ReLU","/global/cfs/cdirs/m3443/data/lightning_models/lightning_checkpoints","Transformer","10","[80,10,10]","trackml","","12","128","0.8","1","[1,null]","2","3","/global/cfs/cdirs/m3443/data/GNN4ITK/CommonFrameworkExamples/Example_3_Dev_B/feature_store","50","0.002","1","300","","","Influencer","4","","1","4","30","10","30","100000","GeometricTracking_CHEP","","1","1","[""rp"",""hnm"",""norm"",""radius""]","3","","1","0.1","1","0","10","2","3","/global/cfs/cdirs/m3443/data/GNN4ITK/CommonFrameworkExamples/Example_3_Dev_B/feature_store","50","0.002","1","300","","","","Influencer","4","","1","","","4","30","10","30","100000","GeometricTracking_CHEP","","","1","1","[""rp"",""hnm"",""norm"",""radius""]","","3","","","1","0.1","1","0","10","0.32150912284851074","0.7928256392478943","299","","","","","","1.8899976015090945","","","","","","0","0.003639672417193651","1","0.07745647430419922","0.10460042953491212","0.03566884994506836","0.00543975830078125","0","0","1","1.94209885597229","2.2681565284729004","","","0.3260577917098999","0","2399","0.3227350413799286","0","1.136620044708252"
"trim-voice-91","finished","-","murnanedaniel","","2023-05-06T13:39:30.000Z","5768","","ReLU","","/global/cfs/cdirs/m3443/data/lightning_models/lightning_checkpoints","Transformer","10","","[80,10,10]","trackml","","12","128","","0.8","1","","[1,null]","ReLU","/global/cfs/cdirs/m3443/data/lightning_models/lightning_checkpoints","Transformer","10","[80,10,10]","trackml","","12","128","0.8","1","[1,null]","1","3","/global/cfs/cdirs/m3443/data/GNN4ITK/CommonFrameworkExamples/Example_3_Dev_B/feature_store","50","0.001","1","200","","","Influencer","4","","1","2","30","400","30","100000","GeometricTracking_CHEP","","1","1","[""rp"",""hnm"",""norm"",""radius""]","3","","1","[0.3,0.1,0.1]","1","0","10","1","3","/global/cfs/cdirs/m3443/data/GNN4ITK/CommonFrameworkExamples/Example_3_Dev_B/feature_store","50","0.001","1","200","","","","Influencer","4","","1","","","2","30","400","30","100000","GeometricTracking_CHEP","","","1","1","[""rp"",""hnm"",""norm"",""radius""]","","3","","","1","[0.3,0.1,0.1]","1","0","10","0.2667595446109772","0.00661457609385252","199","","","","","","1.0803767442703247","","","","","","0.6838333010673523","0.02365255355834961","0.006776133552193642","12.068896293640137","2.3597171306610107","0.4066038429737091","0.05046319961547851","0","0","1","0.9705659747123718","1.153947830200195","","","0.1833818107843399","0","1599","0.18522590398788452","0","0.7184277772903442"
"spring-valley-138","finished","-","murnanedaniel","","2023-05-07T11:38:53.000Z","874","","ReLU","","/global/cfs/cdirs/m3443/data/lightning_models/lightning_checkpoints","Transformer","10","","[80,10,10]","trackml","","12","128","","0.8","1","","[1,null]","ReLU","/global/cfs/cdirs/m3443/data/lightning_models/lightning_checkpoints","Transformer","10","[80,10,10]","trackml","","12","128","0.8","1","[1,null]","2","3","/global/cfs/cdirs/m3443/data/GNN4ITK/CommonFrameworkExamples/Example_3_Dev_B/feature_store","50","0.003","1","300","","","Influencer","4","","1","4","30","10","30","100000","GeometricTracking_CHEP","","1","1","[""rp"",""hnm"",""norm"",""radius""]","3","","1","0.05","1","0","10","2","3","/global/cfs/cdirs/m3443/data/GNN4ITK/CommonFrameworkExamples/Example_3_Dev_B/feature_store","50","0.003","1","300","","","","Influencer","4","","1","","","4","30","10","30","100000","GeometricTracking_CHEP","","","1","1","[""rp"",""hnm"",""norm"",""radius""]","","3","","","1","0.05","1","0","10","0.13125494122505188","0.9620051980018616","299","","","","","","3.7448415756225586","","","","","","0.019999999552965164","0.005937234964221716","1","0.0792837142944336","0.10384058952331544","0.0367741584777832","0.005453824996948242","0","0","1","3.3274900913238525","3.5340301990509033","","","0.20654015243053436","0","2399","0.20901592075824735","0","1.1434082984924316"
"blooming-mountain-64","crashed","-","murnanedaniel","","2023-05-06T11:49:58.000Z","1141","","ReLU","","/global/cfs/cdirs/m3443/data/lightning_models/lightning_checkpoints","Transformer","10","","[80,10,10]","trackml","","12","128","","0.8","1","","[1,null]","ReLU","/global/cfs/cdirs/m3443/data/lightning_models/lightning_checkpoints","Transformer","10","[80,10,10]","trackml","","12","128","0.8","1","[1,null]","","","/global/cfs/cdirs/m3443/data/GNN4ITK/CommonFrameworkExamples/Example_3_Dev_B/feature_store","50","0.001","1","1000","","","Naive","4","","1","2","30","2","50","","GeometricTracking_CHEP","","1","","[""rp"",""hnm"",""norm"",""radius""]","3","","","","1","","10","","","/global/cfs/cdirs/m3443/data/GNN4ITK/CommonFrameworkExamples/Example_3_Dev_B/feature_store","50","0.001","1","1000","","","","Naive","4","","1","","","2","30","2","50","","GeometricTracking_CHEP","","","1","","[""rp"",""hnm"",""norm"",""radius""]","","3","","","","","1","","10","0.8978288173675537","0.9703243374824524","520","","","","","","","","","","","","0.3499999940395355","0.6696696877479553","0.92148756980896","0.018149375915527344","0.02187037467956543","0.013309001922607422","0.013901472091674805","0","0.8500000238418579","0.2916666567325592","","","0.08315649628639221","0.10740721970796584","","","4167","","","0.0020212032832205296"
"autumn-paper-147","finished","-","murnanedaniel","","2023-05-07T11:38:56.000Z","854","","ReLU","","/global/cfs/cdirs/m3443/data/lightning_models/lightning_checkpoints","Transformer","10","","[80,10,10]","trackml","","12","128","","0.8","1","","[1,null]","ReLU","/global/cfs/cdirs/m3443/data/lightning_models/lightning_checkpoints","Transformer","10","[80,10,10]","trackml","","12","128","0.8","1","[1,null]","2","3","/global/cfs/cdirs/m3443/data/GNN4ITK/CommonFrameworkExamples/Example_3_Dev_B/feature_store","50","0.002","1","300","","","Influencer","4","","1","2","30","10","30","100000","GeometricTracking_CHEP","","1","1","[""rp"",""hnm"",""norm"",""radius""]","3","","1","0.2","1","0","10","2","3","/global/cfs/cdirs/m3443/data/GNN4ITK/CommonFrameworkExamples/Example_3_Dev_B/feature_store","50","0.002","1","300","","","","Influencer","4","","1","","","2","30","10","30","100000","GeometricTracking_CHEP","","","1","1","[""rp"",""hnm"",""norm"",""radius""]","","3","","","1","0.2","1","0","10","0.6943560242652893","0.973027765750885","299","","","","","","1.7902885675430298","","","","","","0.009999999776482582","0.07394669204950333","1","0.07568740844726562","0.1236572265625","0.03685474395751953","0.005387067794799805","0","0.06060606241226196","0.4000000059604645","1.7767525911331177","2.3444905281066895","","","0.5677379965782166","0","2399","0.5647485256195068","0","1.310987114906311"
"serene-grass-88","finished","-","murnanedaniel","","2023-05-06T13:29:03.000Z","4276","","ReLU","","/global/cfs/cdirs/m3443/data/lightning_models/lightning_checkpoints","Transformer","10","","[80,10,10]","trackml","","12","128","","0.8","1","","[1,null]","ReLU","/global/cfs/cdirs/m3443/data/lightning_models/lightning_checkpoints","Transformer","10","[80,10,10]","trackml","","12","128","0.8","1","[1,null]","1","3","/global/cfs/cdirs/m3443/data/GNN4ITK/CommonFrameworkExamples/Example_3_Dev_B/feature_store","50","0.001","1","200","","","Influencer","4","","1","2","30","300","30","100000","GeometricTracking_CHEP","","1","1","[""rp"",""hnm"",""norm"",""radius""]","3","","1","[0.3,0.1,0.1]","1","0","10","1","3","/global/cfs/cdirs/m3443/data/GNN4ITK/CommonFrameworkExamples/Example_3_Dev_B/feature_store","50","0.001","1","200","","","","Influencer","4","","1","","","2","30","300","30","100000","GeometricTracking_CHEP","","","1","1","[""rp"",""hnm"",""norm"",""radius""]","","3","","","1","[0.3,0.1,0.1]","1","0","10","0.332624614238739","0.00807560607790947","199","","","","","","1.428717851638794","","","","","","0.018124781548976895","0.007075609639286995","0.0773410052061081","6.797782897949219","1.861053705215454","0.3055458068847656","0.03121757321059704","0","0.0003546099178493023","0.9952380061149596","0.7493455410003662","0.908336877822876","","","0.15899132192134857","0","1599","0.16066841781139374","0","0.8514485955238342"
"icy-deluge-244","finished","-","murnanedaniel","","2023-05-07T12:27:25.000Z","1592","","ReLU","","/global/cfs/cdirs/m3443/data/lightning_models/lightning_checkpoints","Transformer","10","","[80,10,10]","trackml","","12","128","","0.8","1","","[1,null]","ReLU","/global/cfs/cdirs/m3443/data/lightning_models/lightning_checkpoints","Transformer","10","[80,10,10]","trackml","","12","128","0.8","1","[1,null]","[1,5,5]","0.3","/global/cfs/cdirs/m3443/data/GNN4ITK/CommonFrameworkExamples/Example_3_Dev_B/feature_store","50","0.001","0.1","300","","","Influencer","4","","1","4","30","50","50","100000","GeometricTracking_CHEP","","0.1","1","[""rp"",""hnm"",""norm"",""radius""]","6","","1","0.2","1","0","10","[1,5,5]","0.3","/global/cfs/cdirs/m3443/data/GNN4ITK/CommonFrameworkExamples/Example_3_Dev_B/feature_store","50","0.001","0.1","300","","","","Influencer","4","","1","","","4","30","50","50","100000","GeometricTracking_CHEP","","","0.1","1","[""rp"",""hnm"",""norm"",""radius""]","","6","","","1","0.2","1","0","10","0.7327091097831726","0.9666345715522766","299","","","","","","0.8544087409973145","","","","","","0","0","0","0.48026180267333984","0.3477611541748047","0.0742650032043457","0.006257056724280119","0","0","1","0.7108892202377319","1.2357206344604492","","","0.5248314738273621","0","2399","0.5229588747024536","0","0.28485018014907837"
