"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation","aggregation","artifacts","backbone","batch_size","concat_output","data_split","dataset","detector_width","emb_dim","emb_hidden","emb_knn","factor","gpus","grav_weight","hard_cuts/pt","hparams/activation","hparams/artifacts","hparams/backbone","hparams/batch_size","hparams/data_split","hparams/dataset","hparams/detector_width","hparams/emb_dim","hparams/emb_hidden","hparams/factor","hparams/gpus","hparams/hard_cuts/pt","hparams/influencer_influencer_weight","hparams/influencer_margin","hparams/input_dir","hparams/knn","hparams/lr","hparams/margin","hparams/max_epochs","hparams/max_r","hparams/min_r","hparams/model","hparams/nb_layer","hparams/nb_transformer_layers","hparams/nhits","hparams/nodes","hparams/num_heads","hparams/num_layer","hparams/num_tracks","hparams/patience","hparams/points_per_batch","hparams/project","hparams/ptcut","hparams/radius","hparams/randomisation","hparams/regime","hparams/spatial_channels","hparams/track_dis_width","hparams/user_influencer_neg_ratio","hparams/user_influencer_weight","hparams/user_user_pos_ratio","hparams/user_user_weight","hparams/warmup","influencer_influencer_weight","influencer_margin","input_dir","knn","lr","margin","max_epochs","max_knn","max_r","min_r","model","nb_layer","nb_transformer_layers","nhits","nodes","norm_embedding","norm_hidden","num_heads","num_layer","num_tracks","patience","points_per_batch","project","ptcut","r_train","radius","randomisation","regime","self_loop","spatial_channels","steps","track_dis_width","user_influencer_neg_ratio","user_influencer_weight","user_user_pos_ratio","user_user_weight","warmup","cluster_eff","cluster_pur","epoch","grav_facts/fact_0","grav_facts/fact_1","grav_facts/fact_2","grav_facts/fact_3","grav_facts/fact_4","influencer_influencer_loss","nbhood_sizes/nb_size_0","nbhood_sizes/nb_size_1","nbhood_sizes/nb_size_2","nbhood_sizes/nb_size_3","nbhood_sizes/nb_size_4","represent_dup","represent_eff","represent_pur","stats/training_max_memory","stats/training_time","stats/validation_max_memory","stats/validation_time","tracking_dup","tracking_eff","tracking_fake_rate","train_influencer_influencer_loss","train_loss","train_loss_epoch","train_loss_step","train_user_influencer_loss","train_user_user_loss","trainer/global_step","user_influencer_loss","user_user_loss","val_loss.min"
"stoic-planet-483","failed","-","murnanedaniel","","2023-05-09T10:12:29.000Z","24","","ReLU","","/global/cfs/cdirs/m3443/data/lightning_models/lightning_checkpoints","Transformer","3","","[80,10,10]","trackml","","12","128","","0.8","1","","[1,null]","ReLU","/global/cfs/cdirs/m3443/data/lightning_models/lightning_checkpoints","Transformer","3","[80,10,10]","trackml","","12","128","0.8","1","[1,null]","1","0.3","/global/cfs/cdirs/m3443/data/GNN4ITK/CommonFrameworkExamples/Example_3_Dev_B/feature_store","50","0.001","0.1","300","","","Influencer","4","4","","1","4","30","1000","40","100000","GeometricTracking_CHEP","","0.1","1","[""rp"",""hnm"",""norm"",""radius""]","6","","1","0.3","1","0","10","1","0.3","/global/cfs/cdirs/m3443/data/GNN4ITK/CommonFrameworkExamples/Example_3_Dev_B/feature_store","50","0.001","0.1","300","","","","Influencer","4","4","","1","","","4","30","1000","40","100000","GeometricTracking_CHEP","","","0.1","1","[""rp"",""hnm"",""norm"",""radius""]","","6","","","1","0.3","1","0","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"scarlet-bush-482","failed","-","murnanedaniel","","2023-05-09T10:12:28.000Z","47","","ReLU","","/global/cfs/cdirs/m3443/data/lightning_models/lightning_checkpoints","Transformer","3","","[80,10,10]","trackml","","12","128","","0.8","1","","[1,null]","ReLU","/global/cfs/cdirs/m3443/data/lightning_models/lightning_checkpoints","Transformer","3","[80,10,10]","trackml","","12","128","0.8","1","[1,null]","1","0.3","/global/cfs/cdirs/m3443/data/GNN4ITK/CommonFrameworkExamples/Example_3_Dev_B/feature_store","50","0.003","0.1","300","","","Influencer","4","4","","1","4","30","1000","40","100000","GeometricTracking_CHEP","","0.1","1","[""rp"",""hnm"",""norm"",""radius""]","6","","1","0.3","1","0","10","1","0.3","/global/cfs/cdirs/m3443/data/GNN4ITK/CommonFrameworkExamples/Example_3_Dev_B/feature_store","50","0.003","0.1","300","","","","Influencer","4","4","","1","","","4","30","1000","40","100000","GeometricTracking_CHEP","","","0.1","1","[""rp"",""hnm"",""norm"",""radius""]","","6","","","1","0.3","1","0","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"light-dew-481","running","-","murnanedaniel","","2023-05-09T10:07:06.000Z","751","","ReLU","","/global/cfs/cdirs/m3443/data/lightning_models/lightning_checkpoints","Transformer","3","","[80,10,10]","trackml","","12","128","","0.8","1","","[1,null]","ReLU","/global/cfs/cdirs/m3443/data/lightning_models/lightning_checkpoints","Transformer","3","[80,10,10]","trackml","","12","128","0.8","1","[1,null]","1","0.3","/global/cfs/cdirs/m3443/data/GNN4ITK/CommonFrameworkExamples/Example_3_Dev_B/feature_store","50","0.005","0.1","300","","","Influencer","4","4","","1","4","30","1000","40","100000","GeometricTracking_CHEP","","0.1","1","[""rp"",""hnm"",""norm"",""radius""]","6","","1","0.3","1","0","10","1","0.3","/global/cfs/cdirs/m3443/data/GNN4ITK/CommonFrameworkExamples/Example_3_Dev_B/feature_store","50","0.005","0.1","300","","","","Influencer","4","4","","1","","","4","30","1000","40","100000","GeometricTracking_CHEP","","","0.1","1","[""rp"",""hnm"",""norm"",""radius""]","","6","","","1","0.3","1","0","10","","","7","","","","","","","","","","","","","","","40.659706115722656","2.1473262310028076","","","","","","0.07152207940816879","0.35440850257873535","","","0.28288641571998596","","199","","",""
"golden-paper-480","running","-","murnanedaniel","","2023-05-09T10:01:57.000Z","1074","","ReLU","","/global/cfs/cdirs/m3443/data/lightning_models/lightning_checkpoints","Transformer","3","","[80,10,10]","trackml","","12","128","","0.8","1","","[1,null]","ReLU","/global/cfs/cdirs/m3443/data/lightning_models/lightning_checkpoints","Transformer","3","[80,10,10]","trackml","","12","128","0.8","1","[1,null]","1","0.3","/global/cfs/cdirs/m3443/data/GNN4ITK/CommonFrameworkExamples/Example_3_Dev_B/feature_store","50","0.01","0.1","300","","","Influencer","4","4","","1","4","30","1000","40","100000","GeometricTracking_CHEP","","0.1","1","[""rp"",""hnm"",""norm"",""radius""]","6","","1","0.3","1","0","10","1","0.3","/global/cfs/cdirs/m3443/data/GNN4ITK/CommonFrameworkExamples/Example_3_Dev_B/feature_store","50","0.01","0.1","300","","","","Influencer","4","4","","1","","","4","30","1000","40","100000","GeometricTracking_CHEP","","","0.1","1","[""rp"",""hnm"",""norm"",""radius""]","","6","","","1","0.3","1","0","10","0.047594521194696426","0.0011420748196542263","","","","","","","0.29999837279319763","","","","","","0.38685575127601624","0.397236168384552","0.0011420748196542263","","","0.8353245258331299","0.0932936668395996","","","","","","","","","","269","0.06945258378982544","",""
"magic-jazz-479","failed","-","murnanedaniel","","2023-05-09T01:02:04.000Z","32","","ReLU","","/global/cfs/cdirs/m3443/data/lightning_models/lightning_checkpoints","Transformer","3","","[80,10,10]","trackml","","12","128","","0.8","1","","[1,null]","ReLU","/global/cfs/cdirs/m3443/data/lightning_models/lightning_checkpoints","Transformer","3","[80,10,10]","trackml","","12","128","0.8","1","[1,null]","1","0.3","/global/cfs/cdirs/m3443/data/GNN4ITK/CommonFrameworkExamples/Example_3_Dev_B/feature_store","50","0.001","0.1","500","","","Influencer","4","","","1","4","30","1000","50","100000","GeometricTracking_CHEP","","0.1","1","[""rp"",""hnm"",""norm"",""radius""]","6","","1","0.2","1","0","10","1","0.3","/global/cfs/cdirs/m3443/data/GNN4ITK/CommonFrameworkExamples/Example_3_Dev_B/feature_store","50","0.001","0.1","500","","","","Influencer","4","4","","1","","","4","30","1000","50","100000","GeometricTracking_CHEP","","","0.1","1","[""rp"",""hnm"",""norm"",""radius""]","","6","","","1","0.2","1","0","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pious-leaf-478","finished","-","murnanedaniel","","2023-05-08T18:29:10.000Z","115","","ReLU","","/global/cfs/cdirs/m3443/data/lightning_models/lightning_checkpoints","Transformer","10","","[80,10,10]","trackml","","12","128","","0.8","1","","[1,null]","ReLU","/global/cfs/cdirs/m3443/data/lightning_models/lightning_checkpoints","Transformer","10","[80,10,10]","trackml","","12","128","0.8","1","[1,null]","1","0.3","/global/cfs/cdirs/m3443/data/GNN4ITK/CommonFrameworkExamples/Example_3_Dev_B/feature_store","50","0.001","0.1","500","","","Influencer","4","4","","1","4","30","200","50","100000","GeometricTracking_CHEP","","0.1","1","[""rp"",""hnm"",""norm"",""radius""]","6","","1","0.2","1","0","10","1","0.3","/global/cfs/cdirs/m3443/data/GNN4ITK/CommonFrameworkExamples/Example_3_Dev_B/feature_store","50","0.001","0.1","500","","","","Influencer","4","4","","1","","","4","30","200","50","100000","GeometricTracking_CHEP","","","0.1","1","[""rp"",""hnm"",""norm"",""radius""]","","6","","","1","0.2","1","0","10","0.7374721765518188","0.7265139222145081","499","","","","","","0.1384880691766739","","","","","","10.50486946105957","0.7070350050926208","0.7279409170150757","6.09498929977417","1.270477294921875","0.2204756736755371","0.02206873893737793","0.8860853182613377","0.8808532953262329","0.32347050309181213","0.13960926234722135","0.3334829807281494","","","0.19387371838092804","0","3999","0.1808883398771286","0","0.3166293501853943"
"cosmic-vortex-477","finished","-","murnanedaniel","","2023-05-08T18:20:59.000Z","546","","ReLU","","/global/cfs/cdirs/m3443/data/lightning_models/lightning_checkpoints","Transformer","10","","[80,10,10]","trackml","","12","256","","0.8","1","","[1,null]","ReLU","/global/cfs/cdirs/m3443/data/lightning_models/lightning_checkpoints","Transformer","10","[80,10,10]","trackml","","12","256","0.8","1","[1,null]","1","0.3","/global/cfs/cdirs/m3443/data/GNN4ITK/CommonFrameworkExamples/Example_3_Dev_B/feature_store","50","0.001","0.1","500","","","Influencer","3","6","","1","4","30","200","50","100000","GeometricTracking_CHEP","","0.1","1","[""rp"",""hnm"",""norm"",""radius""]","6","","1","0.2","1","0","10","1","0.3","/global/cfs/cdirs/m3443/data/GNN4ITK/CommonFrameworkExamples/Example_3_Dev_B/feature_store","50","0.001","0.1","500","","","","Influencer","3","6","","1","","","4","30","200","50","100000","GeometricTracking_CHEP","","","0.1","1","[""rp"",""hnm"",""norm"",""radius""]","","6","","","1","0.2","1","0","10","0.8511214256286621","0.8826704621315002","499","","","","","","0.15992769598960876","","","","","","9.755623817443848","0.8250128626823425","0.8920533657073975","8.805475234985352","1.344994068145752","0.26428890228271484","0.03643059730529785","0.8960144518459975","0.9578782916069032","0.1383822113275528","0.15976275503635406","0.3243943452835083","","","0.16463157534599304","0","3999","0.14734676480293274","0","0.3072744607925415"
"visionary-gorge-476","finished","-","murnanedaniel","","2023-05-08T18:12:29.000Z","73","","ReLU","","/global/cfs/cdirs/m3443/data/lightning_models/lightning_checkpoints","Transformer","10","","[80,10,10]","trackml","","12","128","","0.8","1","","[1,null]","ReLU","/global/cfs/cdirs/m3443/data/lightning_models/lightning_checkpoints","Transformer","10","[80,10,10]","trackml","","12","128","0.8","1","[1,null]","1","0.3","/global/cfs/cdirs/m3443/data/GNN4ITK/CommonFrameworkExamples/Example_3_Dev_B/feature_store","50","0.001","0.1","500","","","Influencer","4","","","1","4","30","200","50","100000","GeometricTracking_CHEP","","0.1","1","[""rp"",""hnm"",""norm"",""radius""]","6","","1","0.2","1","0","10","1","0.3","/global/cfs/cdirs/m3443/data/GNN4ITK/CommonFrameworkExamples/Example_3_Dev_B/feature_store","50","0.001","0.1","500","","","","Influencer","4","4","","1","","","4","30","200","50","100000","GeometricTracking_CHEP","","","0.1","1","[""rp"",""hnm"",""norm"",""radius""]","","6","","","1","0.2","1","0","10","0.7146177291870117","0.7114953398704529","499","","","","","","0.136336088180542","","","","","","10.612570762634276","0.6754130125045776","0.7138694524765015","6.145944595336914","1.2803025245666504","0.22024108469486237","0.022612810134887695","0.8828469452026033","0.8732393980026245","0.3504999876022339","0.1397150605916977","0.32524433732032776","","","0.1855292767286301","0","3999","0.1899848580360413","0","0.3160921633243561"
"distinctive-monkey-475","finished","-","murnanedaniel","","2023-05-08T18:11:31.000Z","7064","","ReLU","","/global/cfs/cdirs/m3443/data/lightning_models/lightning_checkpoints","Transformer","3","","[80,10,10]","trackml","","12","128","","0.8","1","","[1,null]","ReLU","/global/cfs/cdirs/m3443/data/lightning_models/lightning_checkpoints","Transformer","3","[80,10,10]","trackml","","12","128","0.8","1","[1,null]","1","0.3","/global/cfs/cdirs/m3443/data/GNN4ITK/CommonFrameworkExamples/Example_3_Dev_B/feature_store","50","0.001","0.1","500","","","Influencer","4","","","1","4","30","1000","50","100000","GeometricTracking_CHEP","","0.1","1","[""rp"",""hnm"",""norm"",""radius""]","6","","1","0.2","1","0","10","1","0.3","/global/cfs/cdirs/m3443/data/GNN4ITK/CommonFrameworkExamples/Example_3_Dev_B/feature_store","50","0.001","0.1","500","","","","Influencer","4","4","","1","","","4","30","1000","50","100000","GeometricTracking_CHEP","","","0.1","1","[""rp"",""hnm"",""norm"",""radius""]","","6","","","1","0.2","1","0","10","0.8981108069419861","0.056292224675416946","237","","","","","","0.08707502484321594","","","","","","4.762445449829102","0.8824281692504883","0.06603880971670151","41.53861999511719","2.460444688796997","0.3571946918964386","0.10038518160581587","0.8454744449591473","0.20147819817066193","0.775330662727356","0.06423313170671463","0.31686463952064514","","","0.2526315152645111","0","6399","0.24878431856632233","0","0.3325832188129425"
"robust-totem-473","finished","-","murnanedaniel","","2023-05-08T18:05:02.000Z","870","","ReLU","","/global/cfs/cdirs/m3443/data/lightning_models/lightning_checkpoints","Transformer","3","","[80,10,10]","trackml","","12","128","","0.8","1","","[1,null]","ReLU","/global/cfs/cdirs/m3443/data/lightning_models/lightning_checkpoints","Transformer","3","[80,10,10]","trackml","","12","128","0.8","1","[1,null]","1","0.3","/global/cfs/cdirs/m3443/data/GNN4ITK/CommonFrameworkExamples/Example_3_Dev_B/feature_store","50","0.001","0.1","500","","","Influencer","4","","","1","4","30","400","50","100000","GeometricTracking_CHEP","","0.1","1","[""rp"",""hnm"",""norm"",""radius""]","6","","1","0.2","1","0","10","1","0.3","/global/cfs/cdirs/m3443/data/GNN4ITK/CommonFrameworkExamples/Example_3_Dev_B/feature_store","50","0.001","0.1","500","","","","Influencer","4","4","","1","","","4","30","400","50","100000","GeometricTracking_CHEP","","","0.1","1","[""rp"",""hnm"",""norm"",""radius""]","","6","","","1","0.2","1","0","10","0.8282240629196167","0.34845003485679626","499","","","","","","0.09872119128704072","","","","","","7.007455348968506","0.8430347442626953","0.4794486165046692","4.447299957275391","0.6117396354675293","0.1377406120300293","0.02520882524549961","0.8897018570093611","0.5787296891212463","0.3500409722328186","0.09979289025068284","0.3151146173477173","","","0.21532173454761505","0","13499","0.21376025676727295","0","0.3116183876991272"
